SRSXF.KEY$,SRSXF.NOTCH.NO%,SRSXF.SHELF.KEY%,SRSXF.SHELF.DESC$
796=08000306,5,41,400 Wood Shelf                                      
019=08000102,25,1480,TOD 500 Shelf (Inc EPOS Strip)                      
5>9308000103,5,41,400 Wood Shelf                                      
1:;508000101,0,6,400 Base                                            
493908000101,39,12,FSDU 300 shelf                                      
885?08000304,7,81,400 Sloping Shelf                                   
79908000101,0,1546,400mm Mid Gondola Site                              
6:5408000316,25,824,300mm Metal Shelf with Divider                      
<90208000401,37,1215,Integrated Microslat Extension                      
3;6108000206,12,319,Fragrance Shelf                                     
<28:08000405,0,6,400 Base                                            
93;708000102,11,646,Water FSDU Shelf                                    
0=;908000101,28,1704,Three Way Gondola Shelf - Left                      
=8008000906,2,922,400 GF/GL Lower Base Shelf wit                      
<79108000202,31,41,400 Wood Shelf                                      
569:08000102,20,534,BFSDU Shelf                                         
1:9<08000301,0,42,                                                    
<<:<08000101,33,1701,Three Way Gondola Shelf - Left                      
264208000704,26,29,400 Wood Shelf with dividers                        
>91=08000401,39,996,Integrated Microslat Extension                      
154<08000107,18,824,300mm Metal Shelf with Divider                      
5=5608000201,53,881,Clip Strip                                          
2=9:08000703,33,1252,400 Wood Shelf with Navigation                      
75;>08000103,32,904,300 Glass Shelf with Dividers                       
450008000;02,27,41,400 Wood Shelf                                      
<39>08000101,0,321,15" Mid Gondola Promotional Un                      
<?8908000105,5,901,400 Wood Shelf with Dividers                        
689108000703,36,319,Fragrance Shelf                                     
450008000603,21,41,400 Wood Shelf                                      
=8008000701,56,881,Clip Strip                                          
>2:=08000104,6,1474,TOD 250 Shelf (Inc. Ticket Str                      
:40308000901,34,41,400 Wood Shelf                                      
264208000705,19,1252,400 Wood Shelf with Navigation                      
457708000505,13,901,400 Wood Shelf with Dividers                        
6:5408000106,1,825,300mm Metal Gondola Base Shelf                      
77:208000105,0,1704,Three Way Gondola Shelf - Left                      
9?4508000402,19,823,1/2 Micro Slat Panel Bottom wi                      
0:6708000108,1,6,400 Base                                            
325008000107,35,1816,Hanging Dump Bin incl Ticket H                      
115?08000903,22,1381,300 Glass Shelf with Dividers                       
?;<08000403,23,29,400 Wood Shelf with dividers                        
