SRSXF.KEY$,SRSXF.NOTCH.NO%,SRSXF.SHELF.KEY%,SRSXF.SHELF.DESC$
118:08000404,5,901,400 Wood Shelf with Dividers                        
:1:708000202,39,29,400 Wood Shelf with dividers                        
48??07000602,20,41,400 Wood Shelf                                      
453:08000102,31,252,500 Wood Shelf                                      
389>08000104,2,1701,Three Way Gondola Shelf - Left                      
513=08000104,5,41,400 Wood Shelf                                      
>39=08000101,29,1704,Three Way Gondola Shelf - Left                      
<:4608000706,5,29,400 Wood Shelf with dividers                        
134908000601,37,996,Integrated Microslat Extension                      
796=08000702,26,29,400 Wood Shelf with dividers                        
4=7505000101,1,891,300mm Metal Gondola Base Shelf                      
2=9:08000502,33,1252,400 Wood Shelf with Navigation                      
8>:908000102,22,1704,Three Way Gondola Shelf - Left                      
115?08000305,5,901,400 Wood Shelf with Dividers                        
<:880800010;,30,1816,Hanging Dump Bin incl Ticket H                      
8=9:08000404,10,41,400 Wood Shelf                                      
:4:308000105,0,6,400 Base                                            
9?4508000607,0,1304,300mm Cotton Wool Merch LBS                         
0>;908000102,27,1704,Three Way Gondola Shelf - Left                      
154<08000102,41,824,300mm Metal Shelf with Divider                      
3;:908000207,9,1837,IQM Single 1/2 Width Shelf                          
9<3008000503,9,896,300 Wood Shelf with Dividers                        
7;3<08000301,37,41,400 Wood Shelf                                      
<:5508000303,27,100,300 Glass Shelf                                     
62:308000101,0,326,12" Mid Gondola Promotional Un                      
:=9808000103,15,1248,Three Way Gondola Shelf - Cent                      
2?9<08000102,21,534,BFSDU Shelf                                         
<?:<08000104,8,1704,Three Way Gondola Shelf - Left                      
450008001103,17,41,400 Wood Shelf                                      
3;6108000203,36,319,Fragrance Shelf                                     
2=9:08000705,19,1252,400 Wood Shelf with Navigation                      
7?9>08000101,16,41,400 Wood Shelf                                      
885?08000203,12,41,400 Wood Shelf                                      
029408000101,0,321,15" Mid Gondola Promotional Un                      
681=08000202,31,41,400 Wood Shelf                                      
689108000405,20,319,Fragrance Shelf                                     
:9=307000101,0,597,Chiller Basket                                      
<>1808000312,49,1556,Dummy Pack - Tray                                   
;79508000101,27,534,BFSDU Shelf                                         
5:8308000203,25,1397,Fridge Shelf with dividers and                      
<:880800010:,30,1816,Hanging Dump Bin incl Ticket H                      
<7<08000307,2,897,400 GF/GL Lower Base Shelf                          
159;08000101,0,1575,No7 Hidden Gems Tray                                
5::908000101,0,294,8" Mid Gondola Promotional Uni                      
<28:08000605,0,6,400 Base                                            
79;308000101,30,1248,Three Way Gondola Shelf - Cent                      
183:08000306,17,824,300mm Metal Shelf with Divider                      
253=0800010:,10,824,300mm Metal Shelf with Divider                      
=36;08000405,2,897,400 GF/GL Lower Base Shelf                          
93;708000203,30,1844,In-Queue Hopper Lower Section                       
495808000202,29,29,400 Wood Shelf with dividers                        
<78908000301,32,998,Integrated Microslat Panel 200                      
:40308000:03,14,41,400 Wood Shelf                                      
689108000603,36,319,Fragrance Shelf                                     
2;9>08000101,30,1704,Three Way Gondola Shelf - Left                      
>1:608000301,0,42,                                                    
<8:<08000104,11,1704,Three Way Gondola Shelf - Left                      
:=0008000404,8,41,400 Wood Shelf                                      
264208000708,2,897,400 GF/GL Lower Base Shelf                          
2=9:08000907,2,897,400 GF/GL Lower Base Shelf                          
49:608000104,0,1704,Three Way Gondola Shelf - Left                      
?;<08000407,2,897,400 GF/GL Lower Base Shelf                          
10480800030:,2,930,300 GF/GL Lower Base Shelf wit                      
264208000:01,64,881,Clip Strip                                          
10:408000103,4,534,BFSDU Shelf                                         
=0:608000101,0,42,                                                    
=3:308000104,5,1248,Three Way Gondola Shelf - Cent                      
>2:908000101,0,326,12" Mid Gondola Promotional Un                      
=;0008000205,2,897,400 GF/GL Lower Base Shelf                          
<2508000102,16,823,1/2 Micro Slat Panel Bottom wi                      
8:9>08000103,14,1702,Three Way Gondola Shelf - Cent                      
1:9;08000101,25,40,300 Wood Shelf                                      
:40308000805,2,897,400 GF/GL Lower Base Shelf                          
<>4?08000203,34,1816,Hanging Dump Bin incl Ticket H                      
7:8;0800020;,13,91,15" Acrylic SlopingTray                             
:19>08000105,0,1701,Three Way Gondola Shelf - Left                      
933=00000101,0,6,400 Base                                            
453:08000402,46,252,500 Wood Shelf                                      
796=08000707,2,897,400 GF/GL Lower Base Shelf                          
=>:?08000102,19,41,400 Wood Shelf                                      
>86108000206,13,319,Fragrance Shelf                                     
009>08000103,17,534,BFSDU Shelf                                         
66:308000104,0,534,BFSDU Shelf                                         
2=9:08000:04,26,1252,400 Wood Shelf with Navigation                      
585;08000203,20,824,300mm Metal Shelf with Divider                      
777608000702,41,824,300mm Metal Shelf with Divider                      
?;<08000405,11,29,400 Wood Shelf with dividers                        
453:08000603,20,252,500 Wood Shelf                                      
9?2=08000401,0,42,                                                    
<:5508000801,52,881,Clip Strip                                          
<:4608000101,37,41,400 Wood Shelf                                      
<28:08000501,32,41,400 Wood Shelf                                      
91;708000307,1,1839,Queue System Shelf                                  
2?3608000104,23,824,300mm Metal Shelf with Divider                      
2=9:0800010:,26,1252,400 Wood Shelf with Navigation                      
7?7<08000406,13,901,400 Wood Shelf with Dividers                        
11008000501,33,1290,Magazine Shelf 1 Tier 200mm                         
8:9=08000101,0,1546,400mm Mid Gondola Site                              
<:5508000501,35,1828,Regime Unit Tray Base                               
91880800010?,22,1816,Hanging Dump Bin incl Ticket H                      
685508000205,35,91,15" Acrylic SlopingTray                             
8?7?08000101,37,41,400 Wood Shelf                                      
4?7:08000403,18,41,400 Wood Shelf                                      
><5208000606,6,896,300 Wood Shelf with Dividers                        
780208000202,19,74,Part of Deep Diary Merchandise                      
59108000506,13,319,Fragrance Shelf                                     
2=9:08000103,39,1830,Curved Graphic Product Podium                       
=5:308000102,22,1248,Three Way Gondola Shelf - Cent                      
133>08000:05,41,990,400mm Metal Shelf with Divider                      
450008000504,8,41,400 Wood Shelf                                      
<>4?08000118,14,1816,Hanging Dump Bin incl Ticket H                      
918808000224,2,1816,Hanging Dump Bin incl Ticket H                      
2=9:0800010;,19,1252,400 Wood Shelf with Navigation                      
=36;08000302,35,41,400 Wood Shelf                                      
79;308000103,16,1248,Three Way Gondola Shelf - Cent                      
104808000110,6,1556,Dummy Pack - Tray                                   
91;708000206,9,1837,IQM Single 1/2 Width Shelf                          
689108000705,20,319,Fragrance Shelf                                     
513=08000302,24,41,400 Wood Shelf                                      
550907000201,0,42,                                                    
115?08000504,14,901,400 Wood Shelf with Dividers                        
:==;07000103,0,1701,Three Way Gondola Shelf - Left                      
5=9=08000103,14,1704,Three Way Gondola Shelf - Left                      
095108000603,13,43,400 Glass Shelf with dividers                       
585;08000102,36,824,300mm Metal Shelf with Divider                      
5:8308000201,52,1397,Fridge Shelf with dividers and                      
<>4?08000210,22,1816,Hanging Dump Bin incl Ticket H                      
<:880800010=,26,1816,Hanging Dump Bin incl Ticket H                      
>86108000103,44,319,Fragrance Shelf                                     
<>4?08000309,26,1816,Hanging Dump Bin incl Ticket H                      
<>4?0800030<,26,1816,Hanging Dump Bin incl Ticket H                      
796=08000103,22,41,400 Wood Shelf                                      
689108000303,36,319,Fragrance Shelf                                     
5=5608000105,2,897,400 GF/GL Lower Base Shelf                          
7?9>08000102,10,41,400 Wood Shelf                                      
;;:>08000101,0,321,15" Mid Gondola Promotional Un                      
777608000302,36,824,300mm Metal Shelf with Divider                      
4;:608000105,0,1701,Three Way Gondola Shelf - Left                      
2=9:08000804,5,1252,400 Wood Shelf with Navigation                      
869908000301,0,42,                                                    
;9:908000103,12,1576,BFSDU Shelf - 200mm                                 
450008000604,8,41,400 Wood Shelf                                      
:40308000303,14,41,400 Wood Shelf                                      
4<6=08000103,11,635,Narrow Gondola End Shelf                            
518;08000304,7,29,400 Wood Shelf with dividers                        
020208000103,20,12,FSDU 300 shelf                                      
48??07000104,12,41,400 Wood Shelf                                      
918808000315,14,1816,Hanging Dump Bin incl Ticket H                      
<28:08000503,10,41,400 Wood Shelf                                      
3;808000101,30,534,BFSDU Shelf                                         
=<9=08000102,22,1248,Three Way Gondola Shelf - Cent                      
:40308000305,2,897,400 GF/GL Lower Base Shelf                          
93;70800020;,1,1839,Queue System Shelf                                  
170008000105,2,897,400 GF/GL Lower Base Shelf                          
609208000802,24,41,400 Wood Shelf                                      
18100800011?,1,825,300mm Metal Gondola Base Shelf                      
5>:008000701,0,42,                                                    
=8008000606,2,922,400 GF/GL Lower Base Shelf wit                      
99770800020;,11,433,IQM Single Half Width Shelf                         
264208000605,2,897,400 GF/GL Lower Base Shelf                          
6=9:08000101,0,1540,300mm Mid Gondola Site                              
:1:708000104,22,29,400 Wood Shelf with dividers                        
74;308000103,15,1704,Three Way Gondola Shelf - Left                      
96;708000102,19,534,BFSDU Shelf                                         
133>08000;08,34,990,400mm Metal Shelf with Divider                      
095108000103,14,43,400 Glass Shelf with dividers                       
7=4608000101,0,42,                                                    
181008000303,35,966,Integrated Microslat Panel 200                      
>=5208000105,19,904,300 Glass Shelf with Dividers                       
681=08000203,23,41,400 Wood Shelf                                      
453:08000403,36,252,500 Wood Shelf                                      
325008000124,6,1816,Hanging Dump Bin incl Ticket H                      
<>:<08000104,10,1704,Three Way Gondola Shelf - Left                      
9<3008000201,37,996,Integrated Microslat Extension                      
:40308000905,2,897,400 GF/GL Lower Base Shelf                          
938407000101,0,1701,Three Way Gondola Shelf - Left                      
<:4608000906,5,29,400 Wood Shelf with dividers                        
<7<08000102,37,41,400 Wood Shelf                                      
?;<08000103,21,29,400 Wood Shelf with dividers                        
<<::08000104,2,41,400 Wood Shelf                                      
<>4?08000317,14,1816,Hanging Dump Bin incl Ticket H                      
325008000104,39,1816,Hanging Dump Bin incl Ticket H                      
20:908000105,0,1701,Three Way Gondola Shelf - Left                      
82:<08000102,25,534,BFSDU Shelf                                         
==:<08000102,18,1248,Three Way Gondola Shelf - Cent                      
=79208000505,17,534,BFSDU Shelf                                         
796=08000207,2,897,400 GF/GL Lower Base Shelf                          
2=9>08000102,22,534,BFSDU Shelf                                         
0:8705000101,2,897,400 GF/GL Lower Base Shelf                          
<:4608000404,16,29,400 Wood Shelf with dividers                        
18;908000103,15,1704,Three Way Gondola Shelf - Left                      
78920800030;,1,1839,Queue System Shelf                                  
<:5508000:06,13,71,400 Glass Shelf                                     
;33108000306,7,1291,Magazine Shelf 2 Tier 400mm                         
170008000101,34,41,400 Wood Shelf                                      
<>2608000905,7,43,400 Glass Shelf with dividers                       
583108000401,4,6,400 Base                                            
39=08000102,19,1704,Three Way Gondola Shelf - Left                      
681=08000302,39,41,400 Wood Shelf                                      
26?08000701,0,42,                                                    
6:5408000203,23,824,300mm Metal Shelf with Divider                      
:9508000103,14,1701,Three Way Gondola Shelf - Left                      
3;8407000101,0,1701,Three Way Gondola Shelf - Left                      
7?7<08000104,27,901,400 Wood Shelf with Dividers                        
264208000:06,12,1252,400 Wood Shelf with Navigation                      
3;9708000103,14,1701,Three Way Gondola Shelf - Left                      
780208000206,6,41,400 Wood Shelf                                      
94508000102,29,41,400 Wood Shelf                                      
2=;908000103,15,1248,Three Way Gondola Shelf - Cent                      
133>0800070<,25,990,400mm Metal Shelf with Divider                      
=36;08000403,16,41,400 Wood Shelf                                      
118:08000101,31,41,400 Wood Shelf                                      
79;308000102,23,1248,Three Way Gondola Shelf - Cent                      
48??07000404,7,41,400 Wood Shelf                                      
=3:<08000104,7,1701,Three Way Gondola Shelf - Left                      
<99908000106,8,41,400 Wood Shelf                                      
5:9<08000103,39,1455,Blank Shelf For Line List                           
39=08000101,27,1704,Three Way Gondola Shelf - Left                      
264208000;07,2,897,400 GF/GL Lower Base Shelf                          
<<::08000103,6,41,400 Wood Shelf                                      
<>2608000701,34,946,200 Glass Shelf with Dividers                       
450008000703,23,41,400 Wood Shelf                                      
65;808000101,0,1546,400mm Mid Gondola Site                              
5:9708000101,30,1704,Three Way Gondola Shelf - Left                      
<:4608000207,2,897,400 GF/GL Lower Base Shelf                          
<?8908000104,12,901,400 Wood Shelf with Dividers                        
>=5208000404,33,904,300 Glass Shelf with Dividers                       
264208000403,33,1252,400 Wood Shelf with Navigation                      
095108000502,29,115,300 Glass Shelf with dividers                       
>19=08000101,0,326,12" Mid Gondola Promotional Un                      
50:108000101,0,42,                                                    
11008000402,19,1370,Magazine Shelf 2 Tier 400mm Up                      
;::608000101,0,42,                                                    
685508000209,21,91,15" Acrylic SlopingTray                             
:40308000403,18,41,400 Wood Shelf                                      
<>2608000:04,7,43,400 Glass Shelf with dividers                       
?9<08000105,1,1701,Three Way Gondola Shelf - Left                      
93;708000307,22,1838,IQM Battery Board                                   
118:08000501,52,881,Clip Strip                                          
:09808000106,13,1702,Three Way Gondola Shelf - Cent                      
918808000316,14,1816,Hanging Dump Bin incl Ticket H                      
115?08000804,4,901,400 Wood Shelf with Dividers                        
104808000307,21,896,300 Wood Shelf with Dividers                        
=89>08000102,26,534,BFSDU Shelf                                         
457708000507,2,922,400 GF/GL Lower Base Shelf wit                      
118:08000<03,15,901,400 Wood Shelf with Dividers                        
<>4?08000120,5,1816,Hanging Dump Bin incl Ticket H                      
56908000202,25,1323,200 Glass Shelf with LED Illum                      
=>:?08000103,9,41,400 Wood Shelf                                      
91;708000404,14,1837,IQM Single 1/2 Width Shelf                          
>=5208000409,6,896,300 Wood Shelf with Dividers                        
115?08000<04,5,901,400 Wood Shelf with Dividers                        
789208000508,17,534,BFSDU Shelf                                         
81:108000104,2,534,BFSDU Shelf                                         
2;3407000101,1,42,                                                    
393107000101,40,990,400mm Metal Shelf with Divider                      
0:8705000201,2,897,400 GF/GL Lower Base Shelf                          
513=08000404,5,41,400 Wood Shelf                                      
450008000901,30,41,400 Wood Shelf                                      
453:08000704,20,252,500 Wood Shelf                                      
5;808000104,8,1704,Three Way Gondola Shelf - Left                      
<:4608000206,5,41,400 Wood Shelf                                      
104808000304,36,1556,Dummy Pack - Tray                                   
457708000604,13,901,400 Wood Shelf with Dividers                        
=?;:08000104,1,634,Narrow Gondola End Base Shelf                       
513=08000201,32,41,400 Wood Shelf                                      
769>08000102,22,1702,Three Way Gondola Shelf - Cent                      
96:908000103,10,1701,Three Way Gondola Shelf - Left                      
>86108000207,5,319,Fragrance Shelf                                     
76<306000103,10,896,300 Wood Shelf with Dividers                        
7;3<08000203,24,41,400 Wood Shelf                                      
918808000106,31,1816,Hanging Dump Bin incl Ticket H                      
>;9>08000102,21,1576,BFSDU Shelf - 200mm                                 
0=;908000102,21,1704,Three Way Gondola Shelf - Left                      
9<3008000504,2,896,300 Wood Shelf with Dividers                        
63:>08000101,0,1546,400mm Mid Gondola Site                              
1=;>08000102,24,1704,Three Way Gondola Shelf - Left                      
<>4?08000214,18,1816,Hanging Dump Bin incl Ticket H                      
68:=08000101,0,1546,400mm Mid Gondola Site                              
:19>08000103,14,1701,Three Way Gondola Shelf - Left                      
=79208000308,10,433,IQM Single Half Width Shelf                         
=8008000403,13,901,400 Wood Shelf with Dividers                        
<9=08000105,0,1248,Three Way Gondola Shelf - Cent                      
>?7=08000209,1,30,400 Base with dividers                              
11008000201,33,1290,Magazine Shelf 1 Tier 200mm                         
10480800010=,16,1556,Dummy Pack - Tray                                   
><5208000602,33,904,300 Glass Shelf with Dividers                       
48??07000502,24,41,400 Wood Shelf                                      
<45308000301,0,42,                                                    
4;408000101,34,534,BFSDU Shelf                                         
=79208000303,24,435,IQM Hopper                                          
?;<08000203,29,29,400 Wood Shelf with dividers                        
85708000106,1,6,400 Base                                            
;:6<08000104,5,745,Rapid Till Unit Large Shelf                         
779508000101,0,56,200 Wood Shelf                                      
133>08000710,12,990,400mm Metal Shelf with Divider                      
189308000105,2,1480,TOD 500 Shelf (Inc EPOS Strip)                      
409708000103,21,40,300 Wood Shelf                                      
>79=08000102,22,1248,Three Way Gondola Shelf - Cent                      
>86108000503,36,319,Fragrance Shelf                                     
867;0800040:,9,824,300mm Metal Shelf with Divider                      
118:08001002,24,901,400 Wood Shelf with Dividers                        
79508000102,20,1704,Three Way Gondola Shelf - Left                      
<:4608000302,37,41,400 Wood Shelf                                      
<7<08000107,5,41,400 Wood Shelf                                      
8=9:08000501,32,41,400 Wood Shelf                                      
?:808000101,31,1702,Three Way Gondola Shelf - Cent                      
87:<08000101,0,321,15" Mid Gondola Promotional Un                      
14:;08000102,18,534,BFSDU Shelf                                         
=49108000101,2,1576,BFSDU Shelf - 200mm                                 
867;08000401,41,945,Upward Extended AS15 Bar with                       
1<9308000103,21,1480,TOD 500 Shelf (Inc EPOS Strip)                      
5=5608000302,27,41,400 Wood Shelf                                      
459:08000104,0,534,BFSDU Shelf                                         
450008000;06,2,897,400 GF/GL Lower Base Shelf                          
3>3508000306,13,901,400 Wood Shelf with Dividers                        
;33108000304,22,1291,Magazine Shelf 2 Tier 400mm                         
253=08000105,26,1556,Dummy Pack - Tray                                   
325008000119,14,1816,Hanging Dump Bin incl Ticket H                      
=8008000702,37,901,400 Wood Shelf with Dividers                        
1<9308000105,2,1480,TOD 500 Shelf (Inc EPOS Strip)                      
3>9>08000103,8,534,BFSDU Shelf                                         
08;908000104,8,1248,Three Way Gondola Shelf - Cent                      
>91=08000304,25,896,300 Wood Shelf with Dividers                        
94508000205,13,41,400 Wood Shelf                                      
3;9708000104,7,1701,Three Way Gondola Shelf - Left                      
118:08000103,15,901,400 Wood Shelf with Dividers                        
518>08000501,2,897,400 GF/GL Lower Base Shelf                          
91;708000308,1,1839,Queue System Shelf                                  
91;708000306,9,1837,IQM Single 1/2 Width Shelf                          
91;708000409,1,1839,Queue System Shelf                                  
493908000103,17,12,FSDU 300 shelf                                      
<:5508000607,13,1825,Focus Need Tray Base                                
;3;808000101,0,1546,400mm Mid Gondola Site                              
=36;08000101,35,41,400 Wood Shelf                                      
398407000101,0,1701,Three Way Gondola Shelf - Left                      
>91=08000305,18,1349,300 Wood Shelf with Dividers a                      
2=9:08000104,39,1830,Curved Graphic Product Podium                       
:=0008000105,2,897,400 GF/GL Lower Base Shelf                          
>?7=08000404,9,1281,400 Glass Shelf with LED Illum                      
<9:<08000103,16,1701,Three Way Gondola Shelf - Left                      
134908000501,37,996,Integrated Microslat Extension                      
796=08000102,29,41,400 Wood Shelf                                      
91880800021>,6,1816,Hanging Dump Bin incl Ticket H                      
585;08000205,9,824,300mm Metal Shelf with Divider                      
918808000303,35,1816,Hanging Dump Bin incl Ticket H                      
<>4?08000319,9,1816,Hanging Dump Bin incl Ticket H                      
>5908000302,25,824,300mm Metal Shelf with Divider                      
=;0008000307,2,897,400 GF/GL Lower Base Shelf                          
777608000304,26,824,300mm Metal Shelf with Divider                      
777608000301,41,824,300mm Metal Shelf with Divider                      
91;708000406,9,1837,IQM Single 1/2 Width Shelf                          
493908000102,28,12,FSDU 300 shelf                                      
997708000101,15,646,Water FSDU Shelf                                    
3>3508000406,13,901,400 Wood Shelf with Dividers                        
94508000803,16,41,400 Wood Shelf                                      
11008000101,33,1290,Magazine Shelf 1 Tier 200mm                         
<8::08000103,13,1702,Three Way Gondola Shelf - Cent                      
:40308000904,8,41,400 Wood Shelf                                      
450008000805,2,897,400 GF/GL Lower Base Shelf                          
6=:108000203,15,1474,TOD 250 Shelf (Inc. Ticket Str                      
?;<08000106,2,897,400 GF/GL Lower Base Shelf                          
>91=08000104,26,896,300 Wood Shelf with Dividers                        
<>2608000104,7,43,400 Glass Shelf with dividers                       
<:8808000117,17,1816,Hanging Dump Bin incl Ticket H                      
:==;07000101,0,1701,Three Way Gondola Shelf - Left                      
9?4508000401,37,929,1/2 Micro Slat Panel Top with                       
280807000:04,2,897,400 GF/GL Lower Base Shelf                          
:=0008000201,36,41,400 Wood Shelf                                      
2?3608000105,17,1556,Dummy Pack - Tray                                   
7?9>08000103,4,41,400 Wood Shelf                                      
325008000112,22,1816,Hanging Dump Bin incl Ticket H                      
1;:908000105,0,1701,Three Way Gondola Shelf - Left                      
59108000207,5,319,Fragrance Shelf                                     
:1:708000404,19,1348,400 Wood Shelf with Dividers a                      
5=5608000104,7,41,400 Wood Shelf                                      
609208000902,22,901,400 Wood Shelf with Dividers                        
264208000501,37,1411,200mm Metal Shelf with Divider                      
685508000207,28,91,15" Acrylic SlopingTray                             
19908000101,0,1540,300mm Mid Gondola Site                              
:>9808000101,0,1540,300mm Mid Gondola Site                              
3;808000104,7,534,BFSDU Shelf                                         
513=08000601,32,41,400 Wood Shelf                                      
>9=08000104,8,1704,Three Way Gondola Shelf - Left                      
59108000405,21,319,Fragrance Shelf                                     
8>9<08000101,32,1704,Three Way Gondola Shelf - Left                      
733107000103,26,534,BFSDU Shelf                                         
<>4?08000104,34,1816,Hanging Dump Bin incl Ticket H                      
321507000101,2,6,400 Base                                            
3;9708000105,0,1701,Three Way Gondola Shelf - Left                      
6>9=08000103,11,1576,BFSDU Shelf - 200mm                                 
518;08000104,7,29,400 Wood Shelf with dividers                        
1:9308000105,2,1480,TOD 500 Shelf (Inc EPOS Strip)                      
<84508000111,22,824,300mm Metal Shelf with Divider                      
<84508000418,9,824,300mm Metal Shelf with Divider                      
<:8808000115,17,1816,Hanging Dump Bin incl Ticket H                      
29:506000102,0,371,CPU Counter Top Shelf                               
;2:908000101,0,326,12" Mid Gondola Promotional Un                      
918808000113,18,1816,Hanging Dump Bin incl Ticket H                      
529<08000104,8,534,BFSDU Shelf                                         
<>4?08000218,14,1816,Hanging Dump Bin incl Ticket H                      
2?3608000301,40,1556,Dummy Pack - Tray                                   
<>4?08000207,30,1816,Hanging Dump Bin incl Ticket H                      
=48:08000205,13,967,400 Glass Shelf with Dividers                       
729=08000101,0,1540,300mm Mid Gondola Site                              
2;9>08000103,16,1704,Three Way Gondola Shelf - Left                      
6?8808000101,2,897,400 GF/GL Lower Base Shelf                          
5690800010:,17,1324,300 Glass Shelf with LED Illum                      
08:408000101,0,42,                                                    
997708000208,16,433,IQM Single Half Width Shelf                         
769>08000101,29,1702,Three Way Gondola Shelf - Cent                      
59:608000101,0,321,15" Mid Gondola Promotional Un                      
16:=08000101,0,1575,No7 Hidden Gems Tray                                
=36;08000105,6,41,400 Wood Shelf                                      
369:08000104,1,534,BFSDU Shelf                                         
8=9:08000102,24,41,400 Wood Shelf                                      
93;708000507,17,534,BFSDU Shelf                                         
450008000?02,30,41,400 Wood Shelf                                      
<8450800022:,9,1556,Dummy Pack - Tray                                   
<:5508000108,5,71,400 Glass Shelf                                     
133>08000:07,34,990,400mm Metal Shelf with Divider                      
2=9:08000406,12,1252,400 Wood Shelf with Navigation                      
<:5508000:08,2,897,400 GF/GL Lower Base Shelf                          
<>4?08000315,14,1816,Hanging Dump Bin incl Ticket H                      
6=:108000204,7,1474,TOD 250 Shelf (Inc. Ticket Str                      
<>1808000320,34,1556,Dummy Pack - Tray                                   
<:880800011:,13,1816,Hanging Dump Bin incl Ticket H                      
609208000404,6,901,400 Wood Shelf with Dividers                        
19=08000101,29,1704,Three Way Gondola Shelf - Left                      
5=9=08000101,28,1704,Three Way Gondola Shelf - Left                      
>?7=08000806,26,1824,Fixed Base                                          
681=08000101,48,41,400 Wood Shelf                                      
;=8408000101,0,42,                                                    
2=9:08000;03,26,1252,400 Wood Shelf with Navigation                      
<>2608000205,7,43,400 Glass Shelf with dividers                       
789208000402,32,1845,In-Queue Hopper Upper Section                       
<:4608000904,18,29,400 Wood Shelf with dividers                        
>5908000101,40,824,300mm Metal Shelf with Divider                      
<28:08000202,24,41,400 Wood Shelf                                      
:1:708000304,31,29,400 Wood Shelf with dividers                        
==9=08000104,0,1704,Three Way Gondola Shelf - Left                      
389>08000102,20,1701,Three Way Gondola Shelf - Left                      
<84508000112,16,824,300mm Metal Shelf with Divider                      
93;70800030:,1,1839,Queue System Shelf                                  
170008000504,6,41,400 Wood Shelf                                      
7;3<08000206,6,41,400 Wood Shelf                                      
1:9<08000401,0,42,                                                    
<?::08000101,36,534,BFSDU Shelf                                         
2=;908000105,0,1248,Three Way Gondola Shelf - Cent                      
115?08000<05,2,897,400 GF/GL Lower Base Shelf                          
>86108000504,29,319,Fragrance Shelf                                     
689108000207,5,319,Fragrance Shelf                                     
;:;:08000102,39,42,                                                    
457708000305,5,901,400 Wood Shelf with Dividers                        
93;70800050;,7,1843,BFSDU Base Shelf                                    
:4:308000202,22,41,400 Wood Shelf                                      
5=5608000203,37,1773,400mm 2014 Deep Diary Merchand                      
91;708000305,9,1837,IQM Single 1/2 Width Shelf                          
518;08000206,6,29,400 Wood Shelf with dividers                        
518;08000406,5,29,400 Wood Shelf with dividers                        
?;<08000406,5,29,400 Wood Shelf with dividers                        
730208000101,34,41,400 Wood Shelf                                      
59108000106,21,319,Fragrance Shelf                                     
>=5208000802,33,904,300 Glass Shelf with Dividers                       
199308000101,37,1480,TOD 500 Shelf (Inc EPOS Strip)                      
457708000904,13,901,400 Wood Shelf with Dividers                        
7:8;08000209,21,91,15" Acrylic SlopingTray                             
068901000101,2,5,Base                                                
325008000123,6,1816,Hanging Dump Bin incl Ticket H                      
118:08000<02,24,901,400 Wood Shelf with Dividers                        
3;6108000404,28,319,Fragrance Shelf                                     
>39508000101,0,1546,400mm Mid Gondola Site                              
918808000304,35,1816,Hanging Dump Bin incl Ticket H                      
3>3508000105,15,901,400 Wood Shelf with Dividers                        
<:8808000102,38,1816,Hanging Dump Bin incl Ticket H                      
=79208000405,20,433,IQM Single Half Width Shelf                         
9<3008000505,2,897,400 GF/GL Lower Base Shelf                          
170008000401,34,41,400 Wood Shelf                                      
583108000501,4,6,400 Base                                            
<:8808000118,17,1816,Hanging Dump Bin incl Ticket H                      
96:908000102,19,1701,Three Way Gondola Shelf - Left                      
91880800031>,6,1816,Hanging Dump Bin incl Ticket H                      
>5908000203,24,824,300mm Metal Shelf with Divider                      
689108000501,52,319,Fragrance Shelf                                     
>86108000104,36,319,Fragrance Shelf                                     
<90208000102,31,1214,Integrated Microslat Panel 9"                       
183:08000403,41,824,300mm Metal Shelf with Divider                      
918808000105,31,1816,Hanging Dump Bin incl Ticket H                      
;:;:08000104,13,42,                                                    
2=9:08000404,26,1252,400 Wood Shelf with Navigation                      
264208000706,12,1252,400 Wood Shelf with Navigation                      
>=5208000405,28,904,300 Glass Shelf with Dividers                       
048808000301,2,897,400 GF/GL Lower Base Shelf                          
4;3908000101,38,1761,FSDU 300 Shelf                                      
48508000904,7,43,400 Glass Shelf with dividers                       
08;908000102,22,1248,Three Way Gondola Shelf - Cent                      
<>180800032:,13,1556,Dummy Pack - Tray                                   
118:08000305,2,897,400 GF/GL Lower Base Shelf                          
609208000703,15,901,400 Wood Shelf with Dividers                        
<:5508000507,20,100,300 Glass Shelf                                     
:40308000401,32,41,400 Wood Shelf                                      
<>2608000102,25,115,300 Glass Shelf with dividers                       
>=5208000101,48,904,300 Glass Shelf with Dividers                       
170008000604,6,41,400 Wood Shelf                                      
118:08000<01,32,41,400 Wood Shelf                                      
183:08000404,34,824,300mm Metal Shelf with Divider                      
3;6108000401,52,319,Fragrance Shelf                                     
<<::08000102,12,41,400 Wood Shelf                                      
=98908000301,37,933,Slat Panel Beech with 250mm Ho                      
979;08000104,1,1704,Three Way Gondola Shelf - Left                      
>5908000205,14,824,300mm Metal Shelf with Divider                      
<>4?08000101,34,1816,Hanging Dump Bin incl Ticket H                      
789208000304,22,1840,IQM Hoods and 2 Headers - Half                      
1:9308000104,12,1480,TOD 500 Shelf (Inc EPOS Strip)                      
;>0008000102,22,41,400 Wood Shelf                                      
>39=08000103,14,1704,Three Way Gondola Shelf - Left                      
115?08000805,2,897,400 GF/GL Lower Base Shelf                          
3;6108000105,20,319,Fragrance Shelf                                     
095108000605,2,897,400 GF/GL Lower Base Shelf                          
869908000201,0,42,                                                    
:=0008000304,7,41,400 Wood Shelf                                      
><5208000706,18,904,300 Glass Shelf with Dividers                       
