SRPOG.KEY$,SRPOG.POGID%,SRPOG.ACT.DATE$,SRPOG.DEACT.DATE$,SRPOG.DESCRIPTION$,SRPOG.PLANNER.FAMILY$,SRPOG.MODULE.COUNT%,SRPOG.CAT.DBKEY%,SRPOG.KEY.LEVEL%,SRPOG.LIVE.RPT.CNT%,SRPOG.DATE.RPT.CNT$,SRPOG.PEND.RPT.CNT%,SRPOG.CAT1.ID%,SRPOG.CAT2.ID%,SRPOG.CAT3.ID%,SRPOG.FILLER$
10910800,523583,20151226,21991231,St/GEnd                       ,Christmas Flexible Space      ,1,100029642,3,255,20151223,1,1,2,9642, 
8:9=0800,20221,20151209,20151229,Fam plan mid                  ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
49=20500,6408,20120702,21991231,Bounty Pack Large             ,Bounty Packs                  ,1,168207523,3,1,20151223,1,1,6820,7523, 
8=9:0800,139968,20160120,20160208,PPS6G                         ,Prime Promotional Site        ,6,168198701,3,255,20151223,1,1,6819,8701, 
9450800,9760,20150810,21991231,Pers Wash 8                   ,Personal Wash                 ,8,100020034,3,1,20151223,1,1,2,34, 
796=0800,3950,20160125,21991231,BFood9                        ,Baby Food                     ,9,100020006,3,255,20151223,1,1,2,6, 
26:90800,98763,20151230,20160119,Toil1 FSDU                    ,Toiletries SP FSDU            ,1,168197081,3,255,20151223,2,1,6819,7081, 
29:50600,123977,20130918,21991231,UNIT1                         ,Chem Counter Impulse Unit     ,1,168199456,3,2,20151223,255,1,6819,9456, 
:?4>0700,280596,20150921,21991231,GCGESP1                       ,Gift Card Mall                ,1,100020004,3,1,20151223,1,1,2,4, 
74;30800,491162,20160106,20160202,0000491162                    ,Photo SP G End                ,1,168197090,3,255,20151223,1,1,6819,7090, 
48??0700,518877,20150921,21991231,GiftFood6                     ,Gardening And Gift Food       ,6,100029642,3,1,20151223,255,1,2,9642, 
52020800,523575,20150921,21991231,FragTw2                       ,Christmas Flexible Space      ,1,100029642,3,1,20151223,255,1,2,9642, 
<7890800,488695,20160111,21991231,ChildSeas5                    ,Childrens Seasonal            ,5,100028343,3,255,20151223,1,1,2,8343, 
5=9=0800,491060,20160120,21991231,0000491060                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
>19=0800,213646,20160120,21991231,DEN3MG                        ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
75930800,307513,20151230,20160119,Collection 2000 Cosmetics Hot ,Collection 2000 Cosmetics     ,1,-1,3,255,20151223,2,1,6819,10967, 
84860800,527390,20151007,21991231,Psercntr                      ,Photo Services                ,1,168207527,3,1,20151223,255,1,6820,7527, 
=>:20800,491146,20160203,21991231,3WayHCGE2C                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
3>350800,3434,20150907,20160103,WM Diet 4                     ,Weight Management And Dietary ,4,100020010,3,1,20151223,255,1,2,10, 
279>0800,13011,20151209,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
75;>0800,553140,20160111,21991231,HomeFrag2                     ,Home Fragrance                ,2,100020004,3,255,20151223,1,1,2,4, 
<?840800,307529,20151125,20151229,0000307529                    ,L Oreal SS Cos                ,1,-1,3,1,20151223,255,1,6819,10967, 
8?:?0800,491051,20160120,21991231,0000491051                    ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
295=0700,395253,20140903,21991231,No7 BFSDU1                    ,BFSDU's                       ,1,-1,3,1,20151223,1,1,6819,10967, 
879>0800,74882,20160120,21991231,Prof hair mid                 ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
6;0?0700,268417,20140319,21991231,Rimmel R&R 4Mod               ,Rimmel SS Cosmetics           ,1,100020027,3,1,20151223,1,1,2,27, 
8>9<0800,491069,20160120,21991231,3WayTGE7C                     ,Toiletries SP G End           ,1,168197090,3,255,20151223,1,1,6819,7090, 
95>60700,443093,20150513,21991231,CTU 9-12                      ,No7 SP Counter                ,1,-1,3,1,20151223,1,1,6819,10967, 
10480800,137549,20151019,21991231,Pain3                         ,Pain Relief                   ,3,100020022,3,1,20151223,1,1,2,22, 
5;80800,491143,20151230,20160202,0000491143                    ,Healthcare SP G End           ,1,168197090,3,255,20151223,2,1,6819,7090, 
3?:=0800,103948,20160106,20160202,Snack Mid                     ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
8950800,20472,20151125,20151229,Pers Wash Mid                 ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
9=9:0800,461132,20160120,21991231,Revlon R&R 2 Mod              ,Revlon                        ,2,100020027,3,255,20151223,1,1,2,27, 
>:60800,12960,20160203,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
1<930800,301923,20151111,20160105,TOD4BACK                      ,Tod                           ,1,-1,3,1,20151223,1,1,6819,10681, 
=4910800,498992,20151125,21991231,BBEBFSDU2                     ,BFSDUs                        ,1,168197072,3,1,20151223,2,1,6819,7072, 
3?950800,44041,20151125,20151229,Ind Bath Mid                  ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
=950800,74882,20151125,20151229,Prof hair mid                 ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
5?:10800,22605,20151209,20160105,Mass Frag Mid                 ,Mid Gondola                   ,1,168197115,3,1,20151223,1,1,6819,7115, 
58310800,446071,20150921,20160110,Greetings7                    ,Greetings                     ,7,100020004,3,255,20151223,1,1,2,4, 
73:80700,4378,20150105,20160103,Walkers1                      ,Walkers                       ,1,100020021,3,1,20151223,255,1,2,21, 
5:830800,464985,20160104,21991231,Drinks 2K                     ,Drinks                        ,2,100020021,3,255,20151223,1,1,2,21, 
93:<0800,213646,20151230,20160119,Dent3                         ,Mid Gondola                   ,1,168190000,2,255,20151223,2,1,6819,0, 
=7920800,4075,20151111,20151229,IQM4+W                        ,IQM                           ,5,-1,3,1,20151223,255,1,6819,10071, 
66:30800,21429,20160120,21991231,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,1,1,6819,7072, 
9?2=0800,461212,20150819,20160202,LOreal 4 Mod R&R              ,L Oreal                       ,4,100020027,3,1,20151223,1,1,2,27, 
=48:0800,553140,20160104,20160110,HomeFrag2                     ,Home Fragrance                ,2,100020004,3,255,20151223,1,1,2,4, 
;89=0800,24417,20160120,21991231,Mens Mid                      ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
867;0800,237482,20160102,21991231,Footcare4G                    ,Footcare                      ,4,100020008,3,255,20151223,1,1,2,8, 
059>0800,12999,20151209,20151229,BFSDU                         ,BFSDUs                        ,1,168197072,3,1,20151223,255,1,6819,7072, 
9>9;0800,10057,20160120,20160202,BabyEnd2                      ,Baby SP G End                 ,1,168197090,3,255,20151223,1,1,6819,7090, 
31:90800,13112,20151230,20160119,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,2,1,6819,7072, 
869;0800,367383,20160120,21991231,Wall Lectern                  ,No7 SP Lectern                ,1,-1,3,255,20151223,1,1,6819,10967, 
<7:>0800,461090,20160217,21991231,BarryM R&R 1 Mod              ,Barry M                       ,1,100020027,3,255,20151223,1,1,2,27, 
26420800,229302,20151005,20160207,Hair Colours 11               ,Hair Colours                  ,11,100020019,3,1,20151223,1,1,2,19, 
65460800,461132,20150902,20160119,Revlon R&R 2 Mod              ,Revlon                        ,2,100020027,3,1,20151223,1,1,2,27, 
45770800,201169,20151005,20160207,MassSham&Cond9                ,Mass Shampoo And Conditioners ,9,100020019,3,1,20151223,1,1,2,19, 
65;80800,169018,20151230,20160202,Hlth Bkwll Mid                ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
07;90800,13011,20151230,20160202,BFSDU                         ,BFSDUs                        ,1,168197072,3,255,20151223,2,1,6819,7072, 
5910800,200891,20160104,21991231,MenFFCab5NoChn                ,Mens Fine Fragrance Cabinet Ex,5,100020015,3,255,20151223,1,1,2,15, 
7=930800,307569,20151230,20160119,Rimmel Cosmetics Hot Spot LGE ,Rimmel SS Cosmetics           ,1,-1,3,255,20151223,2,1,6819,10967, 
94950800,20479,20151125,20151229,Femc mid                      ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
<?6<0800,14212,20150921,20160110,KidToil1                      ,Kids Toiletries               ,1,100020034,3,1,20151223,1,1,2,34, 
<7910800,11733,20160104,21991231,MassFrag2                     ,Mass Fragrance                ,2,100020015,3,255,20151223,1,1,2,15, 
63;20800,461110,20160217,21991231,Collection R&R 1 Mod          ,Collection                    ,1,100020027,3,255,20151223,1,1,2,27, 
:950800,491051,20151125,20151229,3WayTGE5R                     ,Toiletries SP G End           ,1,168197090,3,1,20151223,255,1,6819,7090, 
>3950800,20286,20151125,20151229,ShmpCond Mid                  ,Mid Gondola                   ,1,168197115,3,1,20151223,255,1,6819,7115, 
82:30800,301914,20160106,21991231,TOD3FRONT                     ,Tod                           ,1,-1,3,255,20151223,1,1,6819,10681, 
12::0700,465976,20141231,21991231,0000465976                    ,No7 Cos                       ,1,-1,3,1,20151223,1,1,6819,10967, 
3=9<0800,192824,20160120,21991231,Colours Mid                   ,Mid Gondola                   ,1,168197115,3,255,20151223,1,1,6819,7115, 
6=;80800,173078,20151230,20160202,Hlth Bkwll Mid                ,Mid Gondola                   ,1,168197115,3,255,20151223,2,1,6819,7115, 
7:950800,442799,20151125,20151229,CTU 4-7                       ,No7 SP Counter                ,1,-1,3,2,20151223,255,1,6819,10967, 
