SRMOD.KEY$,SRMOD.DESCRIPTOR$,SRMOD.ARRAY$,SRMOD.SHELF.COUNT%,SRMOD.ITEM.COUNT%,SRMOD.FILLER$
8<:<08000100,MODULE 0001                   ,010143587101000300010163825901000300010163826001000300010143576601000300010143605001000300010143604901000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,6,                  
48508000300,MODULE 0003                   ,010149589401000200010136254003000:00010136245901000300010136246001000300010110701302000500010117745602000900010117745302000900010117745102000900010117015803000;00010149564404001000010149578004001000010149564302000800020163350003000:00020157452002000400020210619602000800020261919904000>00020210620803000<00020275096503000<00020278437503000<00020156793102000600030218202104000>00030315619804000?00030210620503000:00030278437403000<00040261920804001000040261921304001000040261921704001000040261921604001000040261921504001000040261921404001000040255069003000<00050261921003000<00050261921108001<00050250443908001<00050150443804000>00050118511904000>00050175756003000:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,37,                  
449708000100,MODULE 0001                   ,010218573002000400010218573302000400010118573101000300020263024702000400020263024602000400020163024401000200030261982902000400030261982702000400030261982802000400040147733701000200040131148701000200040147733601000200040147733401000200040128009901000200040175756601000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,15,                  
=8008000900,MODULE 0009                   ,010130957002000700010130747402000700010110454003000:00010110452903000<00010139041603000=00010110453503000=00010163800302000700010163800402000700010163800503000<00020163800602000700020163800702000700020163800803000=00020163800902000700020163801002000700020163801103000<00020161858702000700020161858802000700020161858903000<00030165112302000700030165112402000700030165112503000<00030165112002000700030165112202000700030160682502000700030160682402000700030161859603000<00040255385404000>00040155385802000700040130289304000?00040250364304000>00040150364402000700040150364503000<00050162171102000700050162171202000700050162171303000<00050150365103000:00050150364902000400050118541102000700050118541202000700050150364003000<00050150363903000<00060164473002000700060110453302000700060110453402000700060130959102000700060130752702000700060161859002000700060161859202000700000000000000000000000000000000000000,6,48,                  
453:08000600,MODULE 0006                   ,010361071703000<00020361071803000<00030361072003000<00040161072102000400040140216302000400040140216402000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,6,                  
170008000100,MODULE 0001                   ,010162688302000900010162688402000600010162688302000900020362659709002100020162659502000900030262660004000>00030262660107001800040162687802000500040262659304001000050162687502000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,10,                  
<7<08000100,MODULE 0001                   ,020224810404001000020124257802000700020123695802000700020149439902000500020124273402000700030223695904000>00030149439802000500030124810502000700030161846902000600030161846802000600040261846703000<00040127162702000500040127138602000400040127136302000500040127117302000500040161986702000400050127123602000400050127134802000400050175130302000500050124810102000700050124810302000700050124810602000700060148039803000=00060148040602000400060148040702000800060148040003000=00060148040302000600060148040103000;00070148040502000500070148040909001>00070148041007001:00070148041204000>00070148041303000<00070148041106001600080156957107001800080153369302000400080153331402000800080153334604000?00080175054902000600080175055002000600080163589202000400080163589502000500080163589701000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7,43,                  
879>08000100,MODULE 0001                   ,010161265202000400010161265302000400010261265404001000010160910002000600010160910102000600010119006702000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,6,                  
:09508000100,MODULE 0001                   ,010218384104000>00010218385904000>00010238511304000>00010225210606001400010238369304000>00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,5,                  
<:5508000301,MODULE 0003                   ,070161728102000500070146524903000<00070141010002000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,53,                  
