SRMOD.KEY$,SRMOD.DESCRIPTOR$,SRMOD.ARRAY$,SRMOD.SHELF.COUNT%,SRMOD.ITEM.COUNT%,SRMOD.FILLER$
867;08000200,MODULE 0002                   ,010161943601000200010161943501000200010161943401000200010161943101000200010161943002000500010161942802000400010124804202000500010122723703000=00010121245102000500010121239602000400030117071301000300030113099502000700030178077901000200030178077801000100030178078001000200030178077401000300030178077501000200030178077702000400030134387502000400030144791501000100030144795901000200030144791601000100030120420501000100030120386001000200030119933901000100030116149102000400030178115801000300030178076501000200030176994801000300030120377201000200030159021501000200030122455901000300030120825402000700030120823302000600030178078101000300030178077601000200030152280802000400030152280702000400030148112704001000030178078202000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,40,                  
=36;08000300,MODULE 0003                   ,010114997401000200010278022302000400010178022401000200010278022502000400010278022602000400010128672201000100020151523902000400020151524202000400020151524002000400020251524102000800020251525502000800020128672201000200030162110302000600030162246002000700030162109502000600030162109802000600030162110102000600040178276502000600040178011002000600040178010902000600040178011102000600040178011202000600040162110002000600050150356901000200050178018702000400050110786702000400060178012301000200060139293101000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,28,                  
3>9708000100,MODULE 0001                   ,010260910002000400010260910102000400010119006701000300020130308601000200020130345701000200020261817202000400020219006802000600030261265202000200030261265302000200030161265401000300040239580502000400040239814702000400040161817801000300050244909802000400050244909902000400050161817401000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,16,                  
609208000500,MODULE 0005                   ,010175064407001800030264843204001000030264843304001000030264843604001000030264843704001000040264843404000>00040264843504000>00040264843906001400040264843804000>00050141760602000900050141760802000700050141729502000700050141729602000700050117661302000700050117661402000700050123392902000600050141738702000600050141729802000600060217661304001000060217661404001000060141729502000800060141729602000800060110863702000900060110863802000900060141760802000800060141760603000;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,26,                  
457708000300,MODULE 0003                   ,010129973503000;00010129974203000:00010129974403000;00010177113303000;00010131561202000700010131563402000700010131585902000700010163787802000700010163788002000700010160688902000700010162965102000800010131529602000800010131530202000800010131532702000800010149693102000800010131551202000800020116480302000800020160682702000800020150978102000800020114588702000800020150363702000800020131553002000800020131553102000800020131553202000800020161928302000800020160689402000800020160314102000800020160313902000800020160314302000800020160318102000800020160317802000800020160317602000800030159807603000;00030159807503000;00030159808002000800030159807902000800030159807702000800030163814802000800030110701602000800030110701502000800030163182002000700030163181902000700030163181802000700030177064202000900030118712402000800030118712502000800040114592002000900040114591002000900040175079603000;00040175080103000;00,6,75,                  
9?4508000600,MODULE 0006                   ,010129402902000600010158127302000500010175234502000700010150369302000900010150369402000900010129981002000900010150369002000600010150369202000600010175396002000600010275395803000<00020121777502000600020131962602000600020175231002000800020134965102000800020134966802000800020175229902000900020141361702000700020129747702000700020141361802000700020131856602000700020138021402000900030175393403000:00030275393305001200030475389804000<00050175389504000?00050175389202000900050175389704000?00070175389602000500070123998802000400070123997002000500070175389402000500070375389303000300070175389002000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,33,                  
095108000600,MODULE 0006                   ,010231212703000:00010231264503000:00010231274402000800010249648804000>00010263235004000>00010231369103000:00020263234903000:00020161004601000300020261004803000<00020161004702000600020214649303000:00020214650003000:00020258131603000:00030121022902000600030114650202000600030120706702000600030163171504000>00030163234802000800030163234702000900030164125502000400030131212802000700030131284302000700030156279202000600030114650102000800040164124602000400040164124702000400040164124801000300040164124902000800040164125002000500040164125102000400040130286602000600040130286002000600040134206202000800040137587902000700040150723902000700050176211902000800050176212402000800050152285002000900050147639902000800050156279703000;00050133255303000:00050123043402000900050133901402000800050133893102000800050125315602000700050164125202000500000000000000000000000000000000000000000000000000000000000000000000000000,5,46,                  
1:9<08000404,MODULE 0004                   ,010162201502000400010162201602000400010162201702000400010162201802000400010162201902000400010162202002000400010162202102000400010162202202000400010162202302000400010162202502000400010162586309001>00010163011802000800010163011902000400010163012002000400010163012102000400010163012202000400010163012302000400010163012502000400010163012602000400010163012702000400010163012802000400010163268402000400010163268502000400010163326702000400010163326802000800010163326902000400010163327102000400010163327202000400010163327302000400010163327402000400010163327502000400010163437302000400010163437402000400010163437502000400010163437702000400010163437802000400010163437902000400010163438002000400010163438102000400010163438202000400010163438402000400010163438502000400010163438602000600010163438702000600010163438903000<00010163568202000700010163568302000700010163568402000700010163568502000700010163568602000700,1,290,                  
7=4608000103,MODULE 0001                   ,010162426502000500010163562702000500010163562802000500010163563002000500010163563102000500010163712902000500010163713002000500010163713102000500010163732302000500010163732402000500010163732502000500010163732602000500010162241503000:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,163,                  
63:>08000100,MODULE 0001                   ,010565236205000:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
>69808000100,MODULE 0001                   ,02032294330700180002032294240:002400020146966803000<00020260695802000200020212403906001400020158906407001800020150076603000<00020149524804000?00020143066003000<00020177038002000600020117383903000<00020177038203000<00020156394901000300020127932003000:00020160298403000<00020110255707001800020237843907001800020258906307001800020161206302000600020158404803000<00020115438002000600020541083612003<00020159665303000:00020277038107001800020175064402000600020217662007001800020178467703000<00020156626803000<00020119949503000<0002025037720>003000020150436703000<00020150436603000<00020160298403000<00020316177009001>00020161016603000<00020162585203000<00020122465003000<00020162856303000<00020162842103000<00020161860601000100020163782802000600020160238503000<00020161959303000<00020164120403000<00020163964903000<00020125165003000<00020131210303000<00020161817903000<00020161818003000<00020164323203000<00,1,59,                  
96;708000100,MODULE 0001                   ,010119730201000300010178701801000300010178702001000300010143775301000300010143775401000300020143775301000300020143775401000300020161331401000300020161331601000300030163382401000300030163382601000300030251413502000600030263383702000600040119730201000300040178701801000300040178702001000300040161331401000300040161331601000300040143775301000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,19,                  
069>08000100,MODULE 0001                   ,010263743607001:00020249343802000800030259717802000800040263743607001:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,4,                  
321507000100,MODULE 0001                   ,010147037078009001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
=;0008000500,MODULE 0005                   ,010163290003000<00010263355102000800010163289905001200010263290202000600010163354802000500020163354902000600020163355003000=00020263355202000800020163354702000400030163471905001200030163471803000<00040163471602000400040163471702000700050163471602000400050163471702000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,15,                  
5=5608000200,MODULE 0002                   ,010156598601000100020156890002000700020150420401000100020158870001000300020178297401000300020161915202000400020159719602000400020161947002000500030147092402000800030150267802000800030256891004001000030142133702000600030150444002000800030159180701000100030176556802000500050115764502000400050161914802000400050163414102000500050110504902000600060115753602000400060178377202000400060210526702000800070151008002000500070159719402000500070161947102000700070230732302000800080178377002000400080139768902000400080156860002000400080115753402000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7,30,                  
118:08000500,MODULE 0005                   ,010148353603000:00020176738002000400020115789802000400020117337502000400030276736509001>00030217338507001800030249077708001<00030149077404000>00030276736608001<00030217337907001800030176744404000>00030176738902000700040133286303000:00040133300203000;00040210172305001200040110172202000900040233209006001400040149076603000:00040217337506001400040217337406001400050315790109001>00050215790206001400050315789809001>0005021578990600140005027673870600140006041017150:00240006041017170:002400060376739009001>00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6,28,                  
157808000100,MODULE 0001                   ,010164391003000<00010110240202000600010110240302000600010110240402000600010110240502000600010113009302000600010113009402000600010113009802000600010115344202000600010115344602000600010116335402000600010116335502000600010116335602000600010116335802000600010117774702000600010118570502000600010119195702000600010119195902000600010119827502000600010130885202000600010134190002000600010135405402000600010137764802000600010137765602000600010138095402000600010138758102000600010138760702000600010138770802000600010139557402000600010139762702000600010139841302000600010139842302000600010139952802000600010140283302000600010142935802000600010143969202000600010143978702000600010143979002000600010143993802000600010144011102000600010144011202000600010144011302000600010144012302000600010144012402000600010144027102000600010144055602000600010145217602000600010145240702000600010145255202000600010145256202000600,1,99,                  
088705000100,MODULE 0001                   ,010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
4=7505000100,MODULE 0001                   ,010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
8::<08000100,MODULE 0001                   ,010127185002000500010128040202000500010128707502000500010128865402000500010128917302000500010131034202000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,6,                  
6:4<08000201,MODULE 0002                   ,020176785202000800020119874002000800020118809703000;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,53,                  
;6:>08000100,MODULE 0001                   ,010276732004000>00010276732104000>00010276740704000>00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,3,                  
=36;08000500,MODULE 0005                   ,010146380902000400010222762702000600010127960602000400010134503201000100010134503301000100010122762101000300010159670501000200010147787301000300010147787201000300010176285001000200010119126301000200010119126002000600020131922603000:00020148900701000100020158948702000500020158948402000500020158948502000500020158948601000200030127199602000400030139473402000500030139475002000500030147786802000500030139799102000600030139798802000600030145633902000600040137877903000:00040121759002000400040126928405001300040126964902000600040126896402000800040146381704000?00040146381302000700040131357102000600050146381502000800050154768602000400050138932302000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,36,                  
199308000100,MODULE 0001                   ,010263763302000800020163764502000400020163774701000300030263763402000400040263759403000:00050263774802000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,6,                  
;9:908000100,MODULE 0001                   ,010362761803000900010362761903000900020362762103000900020362762203000900030362762403000900030362762503000900040362761503000900040362761703000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,8,                  
6:4<08000500,MODULE 0005                   ,010127495702000900010114631506001400010127508203000:00010114631706001400010156404603000:00010133119202000900010114631606001400010140918702000900010151928303000:00010114631806001400010126842002000900010110441106001400010156405202000800010110441203000=00010156405003000:00010175317306001400010175318803000:00010151928403000:00010175318406001400010175320003000;00010138020202000900010175317206001400010162035003000=00010140918302000900010123110406001400010175318703000=00020175318506001400020156405102000900020175391606001400020162034906001400020175317505001200020127495802000600020175390906001400020175317406001400020154815802000900020175391806001400020175318906001400020154815502000900020175391506001400020175318203000<00020175392502000900020175392106001400020175391206001400020175391302000700020175317904000?00020110440806001400020175317802000900020175391902000900020175391106001400020175392202000900,3,54,                  
:43908000100,MODULE 0001                   ,010110115901000300010110116101000300010110332502000500010110332602000500010110332902000500010110333002000500010110333302000500010110333402000500010110333502000500010110333602000500010110333702000500010110333803000:00010110333902000500010110334002000500010110334103000:00010110334202000500010110334402000500010110334602000500010110334802000500010110334902000500010110335002000500010110335202000500010110335302000500010110337202000500010110337302000500010110337802000500010110337902000500010110338002000500010110338102000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,29,                  
<>2608000100,MODULE 0001                   ,010210619202000400010236312302000800010210620102000800010256793103000:00010110620802000500020710619207001500020475123804000<00030317742103000900030361576203000900030332931403000900040275099904000>00040356784604000?00040210608503000<00040210620703000:00050375781506001500050375756106001500050261576503000:00050161576302000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,18,                  
8?7?08000100,MODULE 0001                   ,010150511702000400010150077102000500010140180509002100010127185903000:00010176299603000;00020141036001000200020250969802000800020150970301000300030163364102000400030250971102000200040163364202000400040163364301000100040115901901000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,13,                  
170008000700,MODULE 0007                   ,010163637102000600010163649202000700010163749902000700020263636602000800020163743402000400030162918202000700030262918602000400040262918405001200050162918701000200050162918502000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,10,                  
19=08000100,MODULE 0001                   ,010559793705000:00020343486703000<00020343486803000900030357960803000600030356188203000600040330073303000600040347087703000600050258969602000400050216027002000400050239649402000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,10,                  
134908000500,MODULE 0005                   ,010163426102000500010116242102000400010178332002000600010132793102000400010178332303000:00010163426202000500010163426402000500010178332202000600010163426502000500010163426302000500010178332103000:00010140277302000500010160908902000400010118893603000<00010178333202000600010148724203000:00010160842302000400010178332602000600010110661303000:00010164112004000?00010178332403000:00010118863202000500010163426703000=00010178332902000500010163427003000=00010163426902000500020149962103000:00020148689003000:00020118869302000900020164108202000900020160843102000400020149960402000600020148723702000900020155036202000900020164106102000500020164109502000900020164108103000=00020149960302000400020160842502000500020164109602000900020148724802000900020155035902000900020148689402000600020164108002000900020148720302000700020164108903000=00020148682302000800020148675902000400020164108502000500020148720602000600,2,73,                  
50:108000306,MODULE 0003                   ,010164866202000800010164866302000800010175311702000800010176840502000800010116098203000:00010116100503000:00010116100603000:00010116100803000:00010116101003000:00010117536203000:00010117536303000:00010117536403000:00010117536503000:00010117536703000:00010117536803000:00010117541603000:00010119913103000:00010119913203000:00010159788803000:00010161783303000:00010163564203000:00010164691403000:00010117538403000<00010145669603000<00010145670903000<00010145733903000<00010159801103000<00010163564304000>00010116101204000?00010160355004000?0001011123370400100001011991380400100001014725120400100001015975240500120001015975250500120001015975260500120001015975270500120001016356440600150001016487060=002=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,339,                  
;2:908000100,MODULE 0001                   ,010461728004000<00010464177704000<00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,2,                  
848608000100,MODULE 0001                   ,010410777504000400010142748102000400010110777302000400020210777402000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2,4,                  
048808000300,MODULE 0003                   ,010140790201000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,                  
=<9508000100,MODULE 0001                   ,010164212601000200010278239802000400020119490901000300020136269501000300020162643701000200020127670001000300020127905201000300030225284402000800030212920602000800040136211601000300040136211801000200040147732301000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4,12,                  
685508000201,MODULE 0002                   ,0;01284510060015000=014133670:0024000=011126970;0026000=011537990;002600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,54,                  
93;708000200,MODULE 0002                   ,010110114403000<00020365064303000900030365064303000<00040353527309001>00040250064506001400050;27610610003700070117654402000600070164503302000500070161737902000500080244667102000800080256157606001400080153842304000>00080145017204000>00090262216804000>00090147586601000300090138448704000>00090176957904000>000901608445060015000:0417548208001<000:05141745060014000:012540870:0023000;01189158060016000;01189155060016000;01189159060016000;0222532803000<000;01631701050012000;0225165003000:000;0231210303000:000<01535947020008000<04389206130040000<0142129502000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11,31,                  
789208000300,MODULE 0003                   ,010110114403000<00020148947504000?00020148947704000?00030148947504000?00030148947704000?00040143763602000700040143763702000600040148146402000700040148152002000900070348146409001>0007016421390100020007016225630100010007016421400100020007016225640100010007016421430100010007016072690100010007016421450100010007034815200;002700070123211303000=00070164214701000100070164214801000100070123211503000:00070164214101000100070164214201000100080160326102000800080160326202000800080263587704000>00080263587804000>000801626436020005000901644683010003000901644684010003000901644686010003000901636693010003000:0261959303000:000:01578790050012000:02105988060014000;031958652;0090000;02752080070018000;01515543020004000;0133180402000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9,40,                  
413908000100,MODULE 0001                   ,010162996902000500010163008602000500010162997102000500020163009502000500030163016603000:00040163016303000:00050162871007001800050162871303000<00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5,8,                  
