SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$
<7910800,MassFrag2                                         ,Mass Fragrance 400mm 2.0W GF                                                                        ,               
5?:10800,Mass Frag Mid                                     ,Mass Fragrance 1 Mid Gondola Mainstream                                                             ,               
0?;90800,0000491136                                        ,Healthcare End 1 3.0Z Three Way Unit Left                                                           ,               
459:0800,BFSDU                                             ,Toiletries Branded FSDU 8 1.0Z                                                                      ,               
5<60700,UmbrHalf                                          ,#Umbrellas 2 Sided Half Unit With Side Panels 1.0Z                                                  ,               
<6::0800,BFSDU                                             ,Toiletries Branded FSDU 6 1.0Z                                                                      ,               
49=20500,Bounty Pack Large                                 ,#Bounty Packs Large UK Stores exclud ROI & certain                                                  ,               
66790700,0000245361                                        ,PH Emergency POG All Uk (Excl NI)                                                                   ,               
60:=0800,ChngWipes Mid                                     ,Changetime and Wipes Mid Gondola Mainstream                                                         ,               
44970800,0000491070                                        ,Toiletries End 1 1.0Y Three Way Unit Right                                                          ,               
269:0800,SunHEnd2                                          ,Sun Shop End 2 1.0Y Mainstream                                                                      ,               
5<:>0800,BabyEnd1                                          ,Baby End 1 1.0Y Large                                                                               ,               
0:870500,MCGrap3                                           ,PH Mini Club Graphics Panel 3.0G Destination GF                                                     ,               
70930800,#BarryM Hot Spot Stock POG                        ,Barry M 1 Cosmetics Hot Spot 400mm                                                                  ,               
>;9>0800,BBEBFSDU11                                        ,BBE Branded FSDU 3 1.0Z                                                                             ,               
6:80800,ToilEnd2                                          ,Toiletries End 2 1.0Y Large                                                                         ,               
19:0800,Cosmetic Promo                                    ,No7 Q Cosmetic Promo                                                                                ,               
15;90800,SmokeCess200                                      ,Smoking Cessation Mid Gondola 200mm                                                                 ,               
71:20800,3WaySSGE3L                                        ,Sun Shop End 3 1.0Y Three Way Unit Left                                                             ,               
68910800,LFFCab8                                           ,Ladies Fine Fragrance Cabinet 8.0J GF                                                               ,               
05:70800,Eye mid                                           ,Eyecare 1 Mid Gondola Mainstream                                                                    ,               
:1:70800,BabySCW4                                          ,Baby Skincare Cotton Wool 400mm 4.0W GF                                                             ,               
>69;0800,ShmpCond Mid                                      ,Shampoo 2 Mid Gondola Mainstream                                                                    ,               
49580800,H&B4G2006                                         ,Hand & Body 2006 400mm 4.0G GF                                                                      ,               
<?::0800,BFSDU                                             ,Toiletries Branded FSDU 8 1.0Z                                                                      ,               
2=9:0800,Hair Colours 11                                   ,Hair Colours 400mm 11.0G Destination GF                                                             ,               
6=:10800,frgunit1                                          ,Fragrance Mini Tod 2 1.0Z                                                                           ,               
96:90800,3WayTGE5C                                         ,Toiletries End 5 1.0Y Three Way Unit Centre                                                         ,               
9;0=0700,Miss Sporty R&R 1Mod                              ,#Miss Sporty R&R 1.0G GF                                                                            ,               
2;8?0800,MG                                                ,Expert Skincare 1 Mid Gondola 300mm                                                                 ,               
45000800,LExc17                                            ,Ladies Exclusives 400mm 17.0G GF                                                                    ,               
9:9?0800,Wall Lectern                                      ,No7 Q Wall Lectern                                                                                  ,               
<:30800,3WayHCSPEnd4R                                     ,Healthcare End 4 3.0Z Three Way Unit Right                                                          ,               
