SRPDF.KEY$,SRPDF.SHRT.DESC$,SRPDF.FULL.DESC$,SRPDF.FILLER$,,
:==;0700,3WaySSGE3                                         ,PH Sun Shop End 3 1.0Y Three Way Unit                                                               ,               ,,
597>0800,3WayHCSPEnd4C                                     ,Healthcare End 4 3.0Z Three Way Unit Centre                                                         ,               ,,
17000800,Cos&Hair8                                         ,Ladies Cosmetics And Hair Gift 400mm 8.0G GF                                                        ,               ,,
43970800,RazBlade200                                       ,Razors & Blades 1 Mid Gondola 200mm                                                                 ,               ,,
318>0800,Colours Mid                                       ,Colours 3 Mid Gondola Mainstream                                                                    ,               ,,
63500800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 2 Mid Gondola Mainstream                                                   ,               ,,
9=560800,3WayHCGE2C                                        ,Healthcare End 2 3.0Z Three Way Unit Centre                                                         ,               ,,
59970800,3WayTGE4L                                         ,Toiletries End 4 1.0Y Three Way Unit Right                                                          ,               ,,
518;0800,Deos4                                             ,Deodorants 400mm 4.0G GF                                                                            ,               ,,
99980800,Dental Mid GL                                     ,Dental 1 Mid Gondola Mainstream                                                                     ,               ,,
2?6:0800,frgunit1                                          ,Fragrance Mini Tod 2 1.0Z                                                                           ,               ,,
<9790800,RazBlade200                                       ,Razors & Blades 1 Mid Gondola 200mm                                                                 ,               ,,
765;0800,OOTW Module                                       ,Prime Promotional Site Offer of the Week Module 2.0G                                                ,               ,,
;6?0800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 2 Mid Gondola Mainstream                                                   ,               ,,
:19>0800,491070,Toiletries End 1 1.0Y Three Way Unit Right                                                          ,               ,,
26690800,BFSDU                                             ,Toiletries Branded FSDU 5 1.0Z                                                                      ,               ,,
80930800,Bourjois Cosmetics Hot Spot LGE 1 Stock POG       ,Bourjois 2 Cosmetics Hot Spot 400mm                                                                 ,               ,,
:1980800,23802,Feedtime 1 Mid Gondola Mainstream                                                                   ,               ,,
>>800800,BFSDU                                             ,Healthcare Branded FSDU 1 1.0Z                                                                      ,               ,,
<48=0800,Wall Lectern                                      ,No7 Q Wall Lectern                                                                                  ,               ,,
=4?0800,Skin 1 Mid GL                                     ,Everyday Facial Skincare 1 Mid Gondola Mainstream                                                   ,               ,,
518>0800,S/Tan9                                            ,PH Self Tan 400mm 9.0G Destination GF                                                               ,               ,,
<1:60800,Rimmel Cosmetics Hot Spot LGE 1 Stock POG         ,Rimmel 2 Cosmetics Hot Spot 400mm                                                                   ,               ,,
920=0700,Revlon R&R 2mod                                   ,#Revlon R&R 2.0G GF                                                                                 ,               ,,
;1:<0800,Femcare Mid GL                                    ,Feminine Care Mid Gondola Mainstream                                                                ,               ,,
41500800,491061,Toiletries End 6 1.0Y Three Way Unit Right                                                          ,               ,,
614;0800,491161,Photo End 1 3.0Z Three Way Unit Centre                                                              ,               ,,
4<620800,Wall Lectern                                      ,No7 Q Wall Lectern                                                                                  ,               ,,
81780800,IQMFSDU2                                          ,Incremental IQM FSDU 2 1.0Z                                                                         ,               ,,
<0670800,Cos End 3                                         ,Cosmetic End 3 1.0Y Mainstream                                                                      ,               ,,
3<790800,BFSDU                                             ,Toiletries Branded FSDU 2 1.0Z                                                                      ,               ,,
8<410800,Vits mid                                          ,Vitamins 1 Mid Gondola 300mm                                                                        ,               ,,
8<930800,491162,Photo End 1 3.0Z Three Way Unit Right                                                               ,               ,,
=;6<0800,491163,Photo End 1 3.0Z Three Way Unit Left                                                                ,               ,,
99900800,491066,Toiletries End 7 1.0Y Three Way Unit Left                                                           ,               ,,
;9:>0800,SunSelTan1                                        ,Summer Self Tan 1 Mid Gondola 400mm                                                                 ,               ,,
;89=0800,Mens Mid                                          ,Mens C Mid Gondola Mainstream                                                                       ,               ,,
;?:60800,Miss Sporty Hot Spot Stock POG                    ,Miss Sporty 1 Cosmetics Hot Spot 400mm                                                              ,               ,,
5=5=0800,CLIP7                                             ,UK Clipstrip 7                                                                                      ,               ,,
73:80800,Dig Care Mid                                      ,Digestive Care 1 Mid Gondola 300mm                                                                  ,               ,,
39310700,WF&HC1G                                           ,Water Filters & Homecare Composite HR 400mm 1.0G GLF                                                ,               ,,
8<950800,Colours Mid                                       ,Colours 3 Mid Gondola Mainstream                                                                    ,               ,,
<5680800,BBEBFSDU2                                         ,BBE Branded FSDU 2 1.0Z V2                                                                          ,               ,,
